twitter_handle,lon,lat,msg,timestamp
suchisbeer,-34.5285,150.87,I have a growler of this mofo m/ - Drinking an Alluvial Peach (2015) by @HopDogBW @ Windang Car Wash   http://t.co/H3LbSOeKLj,2015-07-05 11:31:05
happypinalang,-27.90168,153.26698,Semoga selamat sampai tujuan ya mba.. \n#syeremliatnya\n#komatkamitdoa (at @tamborinemount) [pic]  https://t.co/k7DMWYN0qA,2015-07-05 11:35:56
nickmc,-37.814107,144.96328,Lifting the game in VET  http://t.co/SQBN0MJelj,2015-07-05 11:36:35
SydneyHummers,-26.405831,153.11142,"Sunshine Beach, QLD #sunshinebeach #sunday #sun #sunshinecoast #beach #ocean #horizon #nature #waves https://t.co/ucwH8StmDL",2015-07-05 11:36:53
Chanipeach,-33.863893,151.19531,An amazing weekend spent listening to a line up of inspirational women and graduates at the https://t.co/aI6LOEic1l,2015-07-05 11:37:05
VirtualJukebox,-32.744687,151.586654,"I Will Survive by Leah McFall is #nowplaying in Hunter River Hotel, East Maitland.  Download it now at http://t.co/FFeDFU3CJG",2015-07-05 11:37:06
ivanmysiv,-37.796111,144.943889,"Wind 2,7 m/s N. Barometer 1005,6 hPa, Falling slowly. Temperature 15,2 A2C. Rain today 0,0 mm. Humidity 48%",2015-07-05 11:37:12
priscillanovani,-33.734555,150.961189,Highly recommended book LIVE LOVE LEAD. Thaaaank you ps @brianchouston #hillsong #booksignage https://t.co/XBjk0hAMZw,2015-07-05 11:37:13
haydos_86,-38.3196,144715,It's 12 o'clock somewhere!! - Drinking a Pacific Ale by @Stoneandwood @ Portsea Hotel   http://t.co/nSHDT4F0d1 #photo,2015-07-05 11:37:15
DJWrisley,-33.900922,151.181919,@matthewdlincoln @ryancordell No fireworks for me. Still down under,2015-07-05 11:37:16
ArjGiese,-38.369676,144.894358,@womensfooty at Rosebud @ Rosebud Football Club https://t.co/sRD3qOj57p,2015-07-05 11:37:26
DennaOnline,-27.560166,153.070614,Let's have some fun!\n\n#skyzone #jumping #kids #birthday #party #fun @ Sky Zone Macgregor https://t.co/FiHQTR1h9E,2015-07-05 11:37:29
CBRGlassworks,-34.629346,150.176398,Craft in Australia: let's not forget the real value of the handmade http://t.co/ioSWLPBWag via @ConversationEDU,2015-07-05 11:37:36
chaddymardini,-33.811885,151.002821,#mardiniturns30 Cake by @buttercremelane Styling by celebrating_events_1 Lighting by https://t.co/oe2K6GO4jH,2015-07-05 11:37:43
emgw_melbourne,-37.812771,144.953659,"#FireAlarm: Latrobe St, Melbourne. Initiated. 3 Appliances. Timeline: http://t.co/yvqx14asZi http://t.co/t3mlh67MWi",2015-07-05 11:37:44
TK42I,-33.686644,150.572764,@NRMA just wondering why two of your tow-truck drivers that look after the Blue Mountains region are off today? One driver is not enough.,2015-07-05 11:38:00
54321Aaaah,-34.909979,138.637061,"@SamAuld1 just shit on twitter, it's a laugh sometimes. Not so funny yday at the parade. Cheers mate.",2015-07-05 11:38:00
Prinitha_G,-37.846687,144.991415,FrescaSunday morning F R U I T bowl. Lovvvvvve red #papaya  #organic #fruit #fresh https://t.co/AYCUqfXcv9,2015-07-05 11:38:06
bodhiimages,-41.862107,148.288596," streets of Melbourne  street art - Fear and Loathing - off Brunswick St, Fitzroy  Canon https://t.co/CSminJBqdg",2015-07-05 11:38:08
slimejam,-42.84942,147.359637,"Climbing, sliding @ Simmons Park https://t.co/gEmKtiVMHM",2015-07-05 11:38:09
ivanmysiv,-37.796111,144.943889,"Wind 3,1 m/s N. Barometer 1005,7 hPa, Falling. Temperature 15,2 A2C. Rain today 0,0 mm. Humidity 48%",2015-07-05 11:38:11
RetrenchFiles,-27.599562,152.730711,"@7NewsBrisbane it's the government that needs to heed the distant warning, not Australians in general",2015-07-05 11:38:27
NORAbrew,-27.586691,153.027802,With my amazing godsis Ria!  get_it_gurrl_6wc #PresoNightDinnerSpam #GETITGURRL #GIG #family https://t.co/0r1etrLn7G,2015-07-05 11:38:27
aliawedges,-34.9212,138.6059,"Good morning from Adelaide, Australia  #lakarya @ North Terrace, Adelaide https://t.co/QvdBhPbUSQ",2015-07-05 11:38:31
ivanmysiv,-37.796111,144.943889,"Wind 3,7 m/s N. Barometer 1005,7 hPa, Falling slowly. Temperature 15,2 A2C. Rain today 0,0 mm. Humidity 48%",2015-07-05 11:39:11
tmj_ast_jobs,-33.838634,151.207114,This #CustomerService #job might be a great fit for you: Operations Team Leader - http://t.co/b8Ui6daNdc #NorthSydney #Hiring #TweetMyJobs,2015-07-05 11:39:20
rcrobinson,-27.938309,153.426315,#sunrise #beautiful #visitgoldcoast #ig_Gold Coast #igersgoldcoat #canon #sunrise_sunset https://t.co/Gh3KAUjbdn,2015-07-05 11:39:28
kingduza1,-37.821311,144.964643,"I'm at @Eureka_Skydeck 88 in Southbank, VIC https://t.co/jC77KUXacB",2015-07-05 11:39:36
CleansedGlen,-31.652225,116.681274,Reminiscing of the year 1995 where the Railways Football Club under the guidance of coach Wayne https://t.co/5kFNvWZlx4,2015-07-05 11:39:40
AbbyRobson,-37.974578,145.015399,Just posted a photo @ Triplet Falls - Otways https://t.co/fj9bRqe6uc,2015-07-05 11:39:42
McCluskeyJoe,-25.282203,152.901979,#HerveyBay @ Hervey Bay Beach :) https://t.co/hLh54cfdDW,2015-07-05 11:40:00
ekhoo7,-33.873598,151.203161,"View from my bed. @ PARKROYAL Darling Harbour, Sydney https://t.co/tkzcrwoKne",2015-07-05 11:40:03
NORAbrew,-27.586691,153.027802,YES! Dinner was on fleek lastnight! Woohoo! I went for gold yup!  #DinnerIsServed https://t.co/ffPAFb8cM5,2015-07-05 11:40:05
